first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Granit,Xhaka,7,8,153,2992,35,675.5,715.0,556.0,15,634,194.8,13,0,4,2.7,48,MID
Mohamed,Elneny,0,0,6,111,2,5.4,4.6,0.0,0,27,1.1,0,0,0,0.6,41,MID
Rob,Holding,1,0,21,562,13,10.3,152.0,54.0,0,120,21.6,0,0,0,0.2,42,DEF
Thomas,Partey,3,0,86,2480,28,444.1,526.6,242.0,6,468,121.5,11,0,5,0.4,47,MID
Martin,Ødegaard,15,8,212,3132,38,1140.3,971.8,934.0,30,813,304.9,13,0,4,33.3,69,MID
Kieran,Tierney,0,1,37,774,10,86.1,144.6,67.0,0,164,30.0,1,0,0,0.8,46,DEF
Nicolas,Pépé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,53,MID
Benjamin,White,2,5,156,3054,35,492.5,655.4,159.0,12,734,130.8,15,0,5,16.1,50,DEF
Eddie,Nketiah,4,2,63,1071,16,128.5,213.4,607.0,5,161,93.8,2,0,3,1.8,63,FWD
Emile,Smith Rowe,0,2,18,161,5,74.4,53.8,41.0,0,60,16.7,0,0,0,0.4,56,MID
Bukayo,Saka,14,12,202,3183,42,1106.1,1014.2,1214.0,19,678,333.4,12,0,6,25.6,80,MID
Takehiro,Tomiyasu,0,1,32,651,11,86.6,137.0,55.0,0,173,27.7,2,0,2,0.5,42,DEF
Aaron,Ramsdale,0,0,143,3420,43,0.0,764.8,0.0,9,664,76.5,14,0,1,11.4,48,GK
Gabriel,dos Santos Magalhães,3,0,146,3409,43,131.4,743.8,401.0,15,723,127.7,14,0,5,13.4,52,DEF
Nuno,Varela Tavares,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Gabriel,Martinelli Silva,15,9,198,2789,33,838.1,844.2,1300.0,18,648,298.1,14,0,3,26.3,65,MID
Pablo,Marí Villar,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Lucas,Torreira di Pascua,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Reiss,Nelson,3,3,42,202,3,121.9,179.8,178.0,5,127,48.0,1,0,0,0.0,47,MID
Matt,Turner,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,38,GK
Fábio,Ferreira Vieira,1,2,40,500,5,180.6,116.0,123.0,2,134,41.5,2,0,0,0.1,56,MID
William,Saliba,2,1,117,2415,25,100.8,529.0,114.0,14,571,74.5,12,0,4,15.6,49,DEF
Marcus,Oliveira Alencar,0,0,1,1,0,0.2,0.0,0.0,0,3,0.0,0,0,0,0.1,46,MID
Gabriel,Fernando de Jesus,11,7,125,2064,23,427.8,660.6,1331.0,17,401,241.9,9,0,6,28.3,81,FWD
Leandro,Trossard,8,13,154,2237,38,711.4,666.0,875.0,8,494,225.2,8,0,1,7.2,66,MID
Jorge Luiz,Frello Filho,2,2,79,2127,23,261.4,400.4,98.0,5,379,76.1,9,0,4,1.9,57,MID
Oleksandr,Zinchenko,1,2,99,2122,28,387.7,405.0,190.0,8,500,98.3,10,0,3,9.0,50,DEF
Matthew,Smith,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
Ethan,Nwaneri,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,45,MID
Lino,Sousa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,39,GK
Amario,Cozier-Duberry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Nathan,Butler-Oyedeji,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Jakub,Kiwior,1,0,26,425,6,17.9,98.6,21.0,1,111,13.9,2,0,0,0.3,40,DEF
Reuell,Walters,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Mauro,Bandeira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Philippe,Coutinho Correia,1,0,32,777,9,152.5,119.2,218.0,1,98,48.8,3,0,3,2.9,66,MID
Emiliano,Martínez Romero,0,0,135,3139,38,23.0,835.2,0.0,15,678,85.7,11,0,7,6.6,50,GK
Calum,Chambers,0,0,13,345,4,29.8,74.4,8.0,0,67,11.1,0,0,2,0.2,42,DEF
