id,xP,xP2
3,0.5,5.3
4,0.0,0.0
5,0.5,0.7
6,0.5,1.5
7,0.5,7.7
8,0.5,1.5
9,0.0,0.0
10,0.5,3.3
11,0.5,1.0
12,0.5,0.7
13,0.4,2.0
14,0.0,0.0
15,0.5,4.7
16,0.5,3.3
17,0.0,0.0
19,0.0,0.0
20,0.0,0.0
22,0.0,0.0
23,0.4,1.0
24,0.5,0.5
25,0.5,0.7
26,0.0,0.0
27,0.0,0.0
28,0.5,3.5
111,0.4,1.5
130,0.5,3.3
313,0.0,0.0
607,0.5,0.5
630,0.0,0.0
631,0.5,0.5
655,0.5,0.5
668,0.5,0.5
685,0.0,0.0
710,0.5,3.3
751,0.5,0.5
767,0.5,1.9
29,0.0,0.0
31,0.0,2.2
32,0.0,0.2
33,0.0,0.5
34,0.0,0.5
35,0.0,0.0
36,0.0,0.0
37,0.0,1.8
38,0.0,0.0
39,0.0,1.5
40,0.0,1.8
41,0.0,0.0
42,0.0,2.0
43,0.0,0.8
44,0.0,1.8
45,0.0,2.0
46,0.0,5.5
47,0.0,5.0
49,0.0,0.0
50,0.0,0.2
51,0.0,0.0
52,0.0,0.0
53,0.0,1.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
479,0.0,0.8
525,0.0,0.0
537,0.0,0.0
538,0.0,1.2
638,0.0,0.0
670,0.0,0.0
672,0.0,0.0
694,0.0,0.0
707,0.0,0.0
711,0.0,1.0
744,0.0,0.0
745,0.0,0.0
753,0.0,0.0
754,0.0,0.0
755,0.0,0.0
761,0.0,0.0
57,0.0,0.7
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.3
63,0.0,0.0
64,0.0,4.5
65,0.0,-0.3
66,0.0,3.0
67,0.0,0.5
68,0.0,0.0
69,0.0,2.0
70,0.0,1.1
71,0.0,-0.3
72,0.0,-0.5
73,0.0,1.0
74,0.0,0.0
75,0.0,1.5
76,0.0,-0.5
77,0.0,0.0
404,0.0,-0.5
505,0.0,0.5
535,0.0,0.0
539,0.0,0.0
571,0.0,-0.5
574,0.0,1.7
576,0.0,0.5
597,0.0,0.0
598,0.0,0.0
649,0.0,-0.5
695,0.0,-0.5
696,0.0,-0.5
697,0.0,-0.5
705,0.0,1.3
706,0.0,-0.5
714,0.0,0.0
718,0.0,2.0
722,0.0,0.3
723,0.0,-0.4
737,0.0,-0.5
738,0.0,-0.5
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,-1.0,3.0
82,0.0,0.0
83,-1.0,2.0
