assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
8,15,634,100,100,13,0.39,84450,None,,0,0,-2,2,675.5,35,28,2,,2,3,5.3,0.5,15,3.89,0.12,8.54,0.26,4.65,36.52,1.1,0.14,Granit,0.0,496,170,35,1.05,7,194.8,34,23,3,False,715.0,44,19,2992,,2023-04-22T08:30:07.774962Z,48,265,157,0,0,None,0,,84450.jpg,4.1,47,23,0,0,0.0,Xhaka,2.7,118,41,False,None,36,1.08,a,1,3,556.0,54,33,153,942505,0,832169,0,0.0,31.9,Xhaka,4
0,0,27,100,0,0,0.0,153256,None,,0,0,-4,4,5.4,462,222,None,,1,3,0.0,0.0,0,0.04,0.03,0.04,0.03,0.00,1.29,1.05,0.0,Mohamed,0.0,141,3,2,1.62,0,1.1,510,230,4,False,4.6,510,230,111,,2023-01-26T10:00:07.778526Z,41,634,335,0,0,None,0,,153256.jpg,1.2,457,201,0,0,0.0,Elneny,0.6,249,81,False,None,1,0.81,a,1,3,0.0,596,236,6,202760,0,279536,0,0.0,1.5,Elneny,0
0,0,120,None,None,0,0.0,156074,None,,0,0,-3,3,10.3,450,160,None,,0,2,0.7,0.5,0,0.15,0.02,0.47,0.07,0.32,11.14,1.78,0.05,Rob,0.0,165,98,13,2.08,1,21.6,400,146,5,False,152.0,345,140,562,,None,42,598,160,0,0,None,0,,156074.jpg,1.5,405,144,0,0,0.0,Holding,0.2,377,143,False,None,6,0.96,a,1,3,54.0,346,122,21,23338,0,27980,0,0.0,5.0,Holding,0
0,6,468,100,100,11,0.4,167199,None,,0,0,-3,3,444.1,71,60,None,,0,3,1.5,0.5,3,2.17,0.08,4.76,0.17,2.59,32.27,1.17,0.09,Thomas,0.0,473,153,28,1.02,3,121.5,100,68,6,False,526.6,108,46,2480,,2023-03-31T15:30:08.770925Z,47,311,186,0,0,None,0,,167199.jpg,2.6,210,80,0,0,0.0,Partey,0.4,284,95,False,None,28,1.02,a,1,3,242.0,154,91,86,110171,0,141958,0,0.0,18.3,Partey,5
8,30,813,100,100,13,0.37,184029,3,,0,0,4,-4,1140.3,7,5,1,,5,3,7.7,0.5,3,8.02,0.23,17.77,0.51,9.75,37.94,1.09,0.28,Martin,0.0,736,317,38,1.09,15,304.9,6,4,7,True,971.8,10,4,3132,,2023-03-09T22:30:08.763464Z,69,44,22,0,0,None,0,,184029.jpg,5.7,7,3,0,0,0.0,Ødegaard,33.3,5,3,False,None,37,1.06,a,1,3,934.0,19,9,212,7014051,0,5015435,0,0.0,30.7,Ødegaard,4
1,0,164,100,100,1,0.12,192895,None,,0,0,-4,4,86.1,318,102,None,,0,2,1.5,0.5,1,0.43,0.05,0.81,0.09,0.38,10.90,1.27,0.04,Kieran,0.0,446,207,10,1.16,0,30.0,370,132,8,False,144.6,352,144,774,,2023-03-29T08:30:08.049621Z,46,332,57,0,0,None,0,,192895.jpg,1.4,432,154,0,0,0.0,Tierney,0.8,208,75,False,None,6,0.7,a,1,3,67.0,329,110,37,98909,0,158213,0,0.0,8.0,Tierney,0
0,0,0,0,0,0,0,195735,None,,0,0,-2,2,0.0,767,334,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Nicolas,0.0,639,264,0,0,0,0.0,769,334,9,False,0.0,768,334,0,Season-long loan to Nice,2022-08-26T07:24:29.541862Z,53,146,78,0,0,None,0,,195735.jpg,0.0,769,334,0,0,0,Pépé,0.1,445,162,False,None,0,0,u,1,3,0.0,765,334,0,5198,0,36735,0,0.0,0.0,Pépé,0
5,12,734,None,None,15,0.44,198869,None,,0,0,5,-5,492.5,62,8,None,,1,2,3.3,0.5,6,3.60,0.11,4.85,0.15,1.25,37.23,1.1,0.04,Benjamin,0.0,574,238,35,1.03,2,130.8,84,9,10,True,655.4,63,18,3054,,None,50,197,24,0,0,None,0,,198869.jpg,4.1,49,6,0,0,0.0,White,16.1,21,6,False,None,36,1.06,a,1,3,159.0,211,39,156,3320417,0,2217969,0,0.0,31.2,White,5
2,5,161,100,100,2,0.17,205533,None,,0,0,-7,7,128.5,250,38,None,,1,4,1.0,0.5,1,1.26,0.11,9.15,0.77,7.89,14.65,1.23,0.66,Eddie,0.0,721,69,16,1.34,4,93.8,147,26,11,False,213.4,302,33,1071,,2023-03-02T00:00:07.606120Z,63,61,27,0,0,None,0,,205533.jpg,2.1,303,42,0,0,0.0,Nketiah,1.8,145,24,False,None,9,0.76,a,1,3,607.0,44,17,63,1928295,0,1865358,0,0.0,10.0,Nketiah,3
2,0,60,100,100,0,0.0,209289,None,,0,0,-4,4,74.4,334,173,None,,0,3,0.7,0.5,4,0.55,0.31,0.80,0.45,0.25,2.71,1.51,0.14,Emile,0.0,684,286,5,2.8,0,16.7,421,190,12,False,53.8,441,191,161,,2023-02-03T10:30:09.166437Z,56,95,50,0,0,None,0,,209289.jpg,1.5,421,183,0,0,0.0,Smith Rowe,0.4,301,101,False,None,0,0.0,a,1,3,41.0,383,187,18,29334,0,151276,0,0.0,3.2,Smith Rowe,0
12,19,678,100,75,12,0.34,223340,1,,0,0,0,0,1106.1,9,7,None,,7,3,2.0,0.4,6,5.97,0.17,17.46,0.49,11.49,39.66,1.12,0.32,Bukayo,0.0,764,333,42,1.19,14,333.4,5,3,13,True,1014.2,7,2,3183,,2023-05-26T15:00:11.378383Z,80,18,8,0,1,1,0,,223340.jpg,5.3,12,6,0,0,0.0,Saka,25.6,11,6,False,None,37,1.05,a,1,3,1214.0,9,4,202,6134396,0,5658739,0,0.0,25.2,Saka,6
1,0,173,100,0,2,0.28,223723,None,,0,0,-3,3,86.6,317,101,None,,0,2,0.0,0.0,0,0.23,0.03,0.47,0.06,0.24,8.93,1.23,0.03,Takehiro,0.0,176,106,11,1.52,0,27.7,382,136,14,False,137.0,360,145,651,,2023-03-17T00:00:06.857640Z,42,609,168,0,0,None,0,,223723.jpg,1.5,406,145,0,0,0.0,Tomiyasu,0.5,276,101,False,None,6,0.83,a,1,3,55.0,342,118,32,89696,0,224586,0,0.0,7.6,Tomiyasu,2
0,9,664,100,100,14,0.37,225321,None,,0,0,-2,2,0.0,750,80,None,,3,1,4.7,0.5,6,0.02,0.0,0.02,0.0,0.00,42.31,1.11,0.0,Aaron,0.0,514,75,43,1.13,0,76.5,196,9,15,False,764.8,31,9,3420,,2022-08-31T22:30:06.428076Z,48,283,11,0,0,None,0,,225321.jpg,3.8,71,14,0,94,2.47,Ramsdale,11.4,40,7,False,None,38,1.0,a,1,3,0.0,743,75,143,1717985,0,2122893,0,0.0,29.8,Ramsdale,1
0,15,723,100,100,14,0.37,226597,None,,0,0,2,-2,131.4,246,63,None,,3,2,3.3,0.5,6,0.66,0.02,5.70,0.15,5.04,41.84,1.1,0.13,Gabriel,0.0,619,246,43,1.14,3,127.7,86,10,16,False,743.8,34,6,3409,,2023-05-03T06:30:06.887452Z,52,162,17,0,0,None,0,,226597.jpg,3.8,74,15,0,0,0.0,dos Santos Magalhães,13.4,30,11,False,None,38,1.0,a,1,3,401.0,93,3,146,2905664,0,2469370,0,0.0,28.1,Gabriel,5
0,0,0,0,0,0,0,437626,None,,0,0,0,0,0.0,691,256,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Nuno,0.0,359,198,0,0,0,0.0,696,256,17,False,0.0,692,256,0,Joined Marseille on loan - Expected back 01 Jul,2022-07-31T21:00:04.269675Z,45,390,81,0,0,None,0,,437626.jpg,0.0,702,256,0,0,0,Varela Tavares,0.0,697,250,False,None,0,0,u,1,3,0.0,672,255,0,0,0,1980,0,0.0,0.0,Tavares,0
9,18,648,100,0,14,0.45,444145,4,,0,0,5,-5,838.1,18,15,3,,4,3,0.0,0.0,0,6.98,0.23,16.13,0.53,9.15,36.16,1.17,0.3,Gabriel,0.0,726,312,33,1.06,15,298.1,7,5,19,True,844.2,19,9,2789,,2023-05-14T20:00:08.628890Z,65,56,28,0,0,3,0,,444145.jpg,5.5,10,5,0,0,0.0,Martinelli Silva,26.3,10,5,False,None,34,1.1,a,1,3,1300.0,7,3,198,7872522,0,7632579,0,0.0,30.5,Martinelli,3
0,0,0,0,0,0,0,92371,None,,0,0,0,0,0.0,671,253,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Pablo,0.0,318,181,0,0,0,0.0,677,253,20,False,0.0,672,253,0,Season-long loan to Monza,2022-08-12T14:22:56.974936Z,45,349,64,0,0,None,0,,92371.jpg,0.0,683,253,0,0,0,Marí Villar,0.0,651,234,False,None,0,0,u,1,3,0.0,651,251,0,162,0,4185,0,0.0,0.0,Pablo Marí,0
0,0,0,0,0,0,0,198849,None,,0,0,0,0,0.0,678,276,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Lucas,0.0,336,69,0,0,0,0.0,684,274,22,False,0.0,679,271,0,Transferred to Galatasaray,2022-08-10T10:32:07.133718Z,45,367,209,0,0,None,0,,198849.jpg,0.0,690,280,0,0,0,Torreira di Pascua,0.1,467,172,False,None,0,0,u,1,3,0.0,659,265,0,2811,0,39180,0,0.0,0.0,Torreira,0
3,5,127,100,75,1,0.45,200641,None,,0,0,-3,3,121.9,260,153,None,,2,3,1.0,0.4,1,0.99,0.44,2.08,0.93,1.09,2.16,0.96,0.49,Reiss,0.0,478,157,3,1.34,3,48.0,294,135,23,False,179.8,324,134,202,,2023-05-21T23:30:09.292114Z,47,316,190,0,0,None,0,,200641.jpg,3.8,70,31,0,0,0.0,Nelson,0.0,534,205,False,None,0,0.0,a,1,3,178.0,196,118,42,17506,0,17959,0,0.0,8.9,Nelson,0
0,0,0,100,100,0,0,224068,None,,0,0,-2,2,0.0,528,21,None,,0,1,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Matt,0.0,15,9,0,0,0,0.0,553,45,24,False,0.0,549,45,0,,2022-10-27T22:30:07.060057Z,38,772,84,0,0,None,0,,224068.jpg,0.0,561,45,0,0,0,Turner,1.4,165,25,False,None,0,0,a,1,3,0.0,488,11,0,240980,0,228275,0,0.0,0.0,Turner,0
2,2,134,100,100,2,0.36,438098,None,,0,0,-4,4,180.6,197,123,None,,1,3,0.7,0.5,1,1.39,0.25,2.25,0.4,0.86,5.28,0.95,0.15,Fábio,0.0,691,290,5,0.9,1,41.5,325,148,25,False,116.0,373,154,500,,2022-08-04T15:00:05.309562Z,56,102,54,0,0,None,0,,438098.jpg,1.8,369,157,0,0,0.0,Ferreira Vieira,0.1,411,148,False,None,3,0.54,a,1,3,123.0,248,134,40,21196,0,32035,0,0.0,7.1,Fábio Vieira,0
1,14,571,100,0,12,0.45,462424,None,,0,0,4,-4,100.8,295,90,None,,2,2,0.0,0.0,0,0.32,0.01,1.23,0.04,0.91,26.86,1.0,0.03,William,0.0,556,232,25,0.93,2,74.5,203,56,26,False,529.0,106,35,2415,,2023-03-17T00:00:06.900817Z,49,252,34,1,0,None,0,,462424.jpg,4.3,29,3,0,0,0.0,Saliba,15.6,23,7,False,None,27,1.01,a,1,3,114.0,259,72,117,5425985,0,4620329,0,0.0,23.9,Saliba,4
0,0,3,0,0,0,0.0,479683,None,,0,0,-4,4,0.2,512,251,None,,0,3,0.0,0.0,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,Marcus,0.0,452,141,0,0.0,0,0.0,749,319,27,False,0.0,748,319,1,Season-long loan to Norwich City,2023-01-31T13:56:28.318276Z,46,338,202,0,0,None,0,,479683.jpg,1.0,518,239,0,0,0.0,Oliveira Alencar,0.1,485,181,False,None,0,0.0,u,1,3,0.0,735,315,1,7000,0,14818,0,0.0,0.2,Marquinhos,0
7,17,401,100,100,9,0.39,205651,None,,0,0,1,-1,427.8,72,4,None,,2,4,3.5,0.5,12,2.91,0.13,17.15,0.75,14.24,23.15,1.01,0.62,Gabriel,0.0,765,85,23,1.0,11,241.9,18,5,28,False,660.6,61,7,2064,,2022-12-04T08:30:06.137006Z,81,14,9,0,0,2,0,,205651.jpg,4.8,15,5,0,0,0.0,Fernando de Jesus,28.3,8,3,False,None,24,1.05,a,1,3,1331.0,5,3,125,3780822,0,8366682,0,0.0,15.4,Jesus,6
13,8,494,100,75,8,0.32,116216,2,,0,0,1,-1,711.4,30,23,None,,3,3,1.5,0.4,9,6.02,0.24,12.39,0.5,6.37,30.79,1.24,0.26,Leandro,0.0,729,314,38,1.53,8,225.2,23,15,111,False,666.0,58,24,2237,,2023-05-26T15:00:11.583349Z,66,49,25,0,0,None,0,,116216.jpg,4.3,32,14,0,0,0.0,Trossard,7.2,55,18,False,None,26,1.05,a,1,3,875.0,24,13,154,5012558,0,4595357,0,0.0,23.3,Trossard,1
2,5,379,100,100,9,0.38,85955,None,,0,0,-3,3,261.4,142,97,None,,1,3,3.3,0.5,3,0.96,0.04,2.85,0.12,1.89,24.41,1.03,0.08,Jorge Luiz,0.0,692,291,23,0.97,2,76.1,197,103,130,False,400.4,174,70,2127,,2023-03-02T00:00:07.754347Z,57,80,42,0,0,None,0,,85955.jpg,2.5,233,90,0,0,0.0,Frello Filho,1.9,136,47,False,None,24,1.02,a,1,3,98.0,282,146,79,449419,0,603430,0,0.0,13.9,Jorginho,4
2,8,500,100,0,10,0.42,206325,None,,0,0,0,0,387.7,92,14,None,,2,2,0.0,0.0,0,2.39,0.1,3.71,0.16,1.32,26.67,1.13,0.06,Oleksandr,0.0,581,242,28,1.19,1,98.3,138,27,313,False,405.0,171,66,2122,,2023-05-12T07:30:08.369212Z,50,204,28,0,0,None,0,,206325.jpg,3.7,83,20,0,0,0.0,Zinchenko,9.0,46,16,False,None,26,1.1,a,1,3,190.0,190,30,99,3068591,0,4119808,0,0.0,19.8,Zinchenko,3
